RowNumber,CreditScore,1Ger2Fr3Sp,Male1_Female0,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,1Dia2Gold3Silver,Points Earned
2358,592,2,0,38,4,0,2,1,0,35338.96,0,0,4,4,305
2359,669,2,1,43,1,163159.85,1,0,1,15602.8,0,0,5,2,952
2360,663,1,1,32,3,108586.86,1,1,1,182355.21,0,0,5,2,723
2361,518,1,0,41,5,110624.99,1,1,0,89327.67,0,0,4,2,911
2362,686,1,0,43,5,154846.24,2,1,1,151903.6,0,0,5,1,546
2363,709,1,1,45,4,122917.71,1,1,1,11.58,1,1,5,3,254
2364,571,2,0,33,9,0,2,0,1,77519.62,0,0,2,2,702
2365,707,2,0,31,2,82787.93,2,0,0,91423.69,0,0,5,2,585
2366,701,1,1,32,5,102500.34,1,0,0,106287.77,0,0,5,2,763
2367,672,2,1,34,9,0,2,1,0,161800.77,0,0,3,3,239
2368,620,1,1,39,9,159492.79,1,1,0,80582.34,1,1,1,2,637
2369,557,3,1,48,10,0,2,1,1,185094.48,0,0,5,2,933
2370,648,3,0,54,7,118241.02,1,1,0,172586.89,1,1,3,1,884
2371,479,2,0,35,2,113090.4,1,1,0,195649.79,0,0,4,3,889
2372,730,2,0,22,9,65763.57,1,1,1,145792.01,0,0,5,4,447
2373,737,1,0,43,1,125537.38,1,1,0,138510.01,1,1,2,3,316
2374,616,2,1,31,3,94263.91,2,1,0,168895.06,0,0,5,4,499
2375,639,3,1,29,4,133434.57,2,1,0,97983.44,0,0,3,2,293
2376,815,3,0,39,6,0,1,1,1,85167.88,0,0,4,1,818
2377,786,3,1,31,9,0,2,1,1,18210.36,0,0,1,4,400
2378,549,2,1,50,9,94748.76,2,0,1,13608.18,0,0,1,3,291
2379,622,2,0,38,4,98640.74,1,1,1,110457.99,0,0,3,4,304
2380,624,2,1,26,9,74681.9,2,0,0,31231.35,0,0,4,2,316
2381,841,2,1,34,4,0,2,1,0,141582.66,0,0,3,1,572
2382,614,3,0,41,7,179915.85,1,0,0,14666.35,1,1,3,3,451
2383,676,2,1,30,1,128207.23,1,1,1,55400.17,0,0,2,3,523
2384,697,2,1,42,9,132739.26,2,0,0,174667.65,0,0,1,2,222
2385,732,2,0,40,10,0,2,1,0,154189.08,0,0,5,1,938
2386,623,2,1,27,4,120509.81,1,0,0,142170.44,0,0,2,3,408
2387,541,2,1,46,4,124547.13,2,1,0,94499.06,0,0,5,3,690
2388,773,3,0,39,4,0,2,0,1,182081.45,0,0,2,3,545
2389,762,1,1,34,4,88815.56,2,1,0,68562.26,1,1,2,4,448
2390,655,3,0,35,1,82231.51,2,1,0,88798.02,0,0,1,4,227
2391,602,1,1,32,7,184715.86,2,1,0,113781.99,0,0,5,3,879
2392,850,2,1,31,3,0,2,1,0,121866.87,0,0,1,4,777
2393,649,3,1,51,4,0,1,1,1,150390.57,0,0,3,2,782
2394,850,1,1,28,4,147972.19,1,1,0,60708.72,1,1,2,4,823
2395,543,2,1,43,9,0,2,1,1,78858.07,0,0,5,4,380
2396,672,2,1,52,8,170008.84,1,0,0,56407.42,1,1,4,4,555
2397,600,2,0,27,3,0,2,0,1,125698.97,0,0,3,2,339
2398,671,3,0,34,10,0,1,1,0,23235.38,0,0,5,4,991
2399,706,3,0,42,8,95386.82,1,1,1,75732.25,0,0,5,4,734
2400,541,1,1,51,7,90373.28,2,1,0,179861.79,0,0,4,2,935
2401,711,1,1,34,4,133467.77,2,1,1,42976.64,0,0,5,1,267
2402,630,3,1,30,3,0,2,0,1,10486.69,0,0,5,2,274
2403,531,2,1,31,3,96288.26,1,1,0,56794.73,0,0,4,1,247
2404,641,2,0,26,4,91547.84,2,0,1,28157.34,0,0,2,2,712
2405,631,1,1,37,8,138292.64,2,0,0,152422.91,1,1,3,1,647
2406,685,2,1,35,9,0,1,1,0,167033.83,0,0,5,2,980
2407,702,3,1,32,8,71667.74,1,1,1,126082.18,0,0,2,3,225
2408,708,1,0,43,0,118994.84,1,1,0,181499.77,1,1,1,2,904
2409,653,3,1,55,7,0,2,1,1,41967.03,0,0,2,4,581
2410,654,1,1,37,2,145610.07,2,0,0,186300.59,0,0,5,4,458
2411,596,2,0,33,1,138162.81,1,1,0,85412.54,0,0,2,1,776
2412,549,1,0,31,9,135020.21,2,1,1,23343.18,0,0,2,1,803
2413,754,2,1,38,2,0,2,1,0,180698.32,0,0,3,3,357
2414,815,1,0,25,8,135161.67,1,1,1,136071.05,0,0,3,1,784
2415,556,2,0,52,9,0,1,1,0,175149.2,1,1,1,1,570
2416,706,2,1,32,6,94486.47,1,1,1,146949.74,0,0,5,1,904
2417,850,2,1,46,9,117640.39,1,1,0,88920.68,0,0,2,2,935
2418,732,3,0,33,8,111379.55,1,1,1,45098.62,0,0,5,2,473
2419,614,2,1,40,6,0,1,1,1,20339.79,1,1,4,2,438
2420,580,3,0,57,0,136820.99,1,0,1,108528.74,0,0,5,3,419
2421,593,2,0,46,7,98752.51,1,1,0,145560.38,0,0,3,4,442
2422,653,1,0,25,2,158266.42,3,1,1,199357.24,0,0,4,3,630
2423,746,2,0,29,4,105599.67,1,1,1,43106.17,0,0,3,1,425
2424,662,2,0,29,10,0,2,1,0,137508.31,0,0,1,4,934
2425,573,2,1,31,2,0,2,1,1,91957.39,0,0,3,2,629
2426,684,3,0,39,4,139723.9,1,1,1,120612.11,0,0,2,4,254
2427,793,2,0,41,3,141806.46,1,1,0,102921.17,0,0,3,3,447
2428,798,1,0,49,5,132571.67,1,1,1,31686.33,1,1,2,1,863
2429,524,2,1,40,2,180516.9,1,1,0,180002.42,0,0,4,3,626
2430,816,2,1,31,8,0,2,1,1,28407.4,0,0,4,4,834
2431,742,1,0,41,4,92805.72,1,0,1,73743.95,1,1,1,1,334
2432,540,2,1,22,4,0,3,1,1,186233.26,1,1,3,2,530
2433,537,1,1,39,3,135309.36,1,1,0,31728.86,1,1,2,2,746
2434,759,3,0,74,6,128917.84,1,1,1,48244.64,0,0,1,1,793
2435,774,2,0,52,2,56580.93,1,1,0,113266.28,1,1,5,2,946
2436,608,1,1,42,8,131390.75,2,1,0,71178.09,0,0,1,4,246
2437,704,3,1,37,4,0,2,0,0,25684.93,0,0,5,4,439
2438,581,2,1,41,8,0,2,0,0,29737.14,0,0,3,3,927
2439,628,1,0,61,1,97361.66,1,1,1,149922.38,1,1,5,3,657
2440,566,2,0,42,6,0,1,1,0,180702.12,1,1,3,3,420
2441,701,3,1,59,7,0,2,0,1,27597.59,0,0,4,4,387
2442,735,3,1,29,10,0,2,1,1,95025.27,0,0,2,1,439
2443,680,2,0,34,1,0,2,1,0,167035.07,0,0,3,1,579
2444,560,2,1,57,0,0,2,0,1,116781.71,0,0,1,1,615
2445,663,1,0,29,4,102714.65,2,0,0,21170.81,0,0,4,2,368
2446,665,2,0,34,5,67816.72,1,1,1,29641.58,0,0,5,4,310
2447,758,2,1,51,8,81710.46,1,1,1,116520.07,0,0,4,2,688
2448,621,2,1,26,2,75237.54,1,0,1,44220.4,0,0,4,4,459
2449,764,1,1,28,10,124023.18,1,1,0,166188.28,0,0,1,4,508
2450,537,1,0,46,5,100727.5,1,0,1,140857.76,1,1,3,1,649
2451,589,2,0,46,10,107238.85,2,1,0,37024.28,0,0,5,3,276
2452,555,2,1,24,5,0,2,1,0,27513.47,0,0,3,2,747
2453,734,2,0,29,0,139994.66,1,1,0,17744.72,0,0,2,3,965
2454,783,3,0,59,9,126224.87,1,1,1,4423.63,0,0,2,1,841
2455,678,1,0,51,1,145751.03,1,0,0,109718.44,1,1,4,1,957
2456,661,2,1,47,5,0,1,0,1,107243.31,1,1,4,1,308
2457,607,3,0,25,4,121166.89,1,0,1,115288.24,0,0,1,1,551
2458,537,3,0,38,1,0,2,0,1,41233.97,0,0,5,2,818
2459,513,3,1,88,10,0,2,1,1,52952.24,0,0,1,2,627
2460,576,2,1,63,9,70655.48,1,0,0,78955.8,1,1,2,3,615
2461,660,1,1,41,1,129901.21,1,1,0,26025.6,1,1,2,2,694
2462,637,2,1,40,8,125470.81,1,1,1,174536.17,0,0,4,2,658
2463,672,2,0,53,9,169406.33,4,1,1,147311.47,1,1,4,1,232
2464,629,2,1,32,2,0,2,0,1,77965.44,0,0,2,4,627
2465,583,1,1,40,4,107041.3,1,1,1,5635.63,0,0,1,3,304
2466,763,3,0,32,10,95153.77,1,0,1,81310.1,0,0,2,3,816
2467,516,1,1,32,3,145166.09,2,0,0,111421.45,0,0,2,1,528
2468,617,2,0,27,4,0,2,0,0,190269.21,0,0,3,2,342
2469,700,2,1,38,9,65962.63,1,1,1,100950.48,0,0,2,2,419
2470,727,1,1,36,6,140418.81,1,1,1,113033.73,1,1,3,2,357
2471,689,3,0,31,3,139799.63,1,0,1,120663.57,0,0,5,3,964
2472,626,1,1,49,9,171787.84,2,1,0,187192.23,0,0,5,4,398
2473,686,2,1,38,6,149238.97,1,1,1,97825.23,0,0,1,4,816
2474,351,1,0,57,4,163146.46,1,1,0,169621.69,1,1,4,4,453
2475,739,2,0,37,8,0,2,1,0,191557.1,1,1,2,3,829
2476,627,2,1,32,10,0,2,1,0,103287.62,0,0,4,1,534
2477,451,1,0,38,9,61482.47,1,1,1,167538.66,0,0,1,3,628
2478,512,2,0,41,8,145150.28,1,1,0,64869.32,1,1,4,4,358
2479,774,2,0,41,5,126670.37,1,1,0,102426.06,0,0,4,4,795
2480,652,2,0,40,8,84390.8,2,0,1,107876.2,0,0,4,4,306
2481,638,1,1,37,2,89728.86,2,1,1,37294.88,0,0,4,1,799
2482,475,2,0,57,1,0,2,1,0,89248.99,0,0,2,3,372
2483,567,3,1,40,4,118628.8,1,0,0,91973.63,0,0,1,2,892
2484,750,2,1,37,3,0,2,1,0,16870.2,0,0,2,4,809
2485,850,2,1,39,6,96863.13,1,1,1,121681.19,0,0,4,1,883
2486,753,2,0,38,6,142263.45,1,0,1,33730.43,0,0,4,1,351
2487,683,3,0,36,7,0,2,1,0,104786.59,0,0,2,3,381
2488,710,2,0,32,3,0,1,1,0,94790.34,0,0,1,4,373
2489,645,3,0,21,1,0,2,0,0,28726.07,0,0,5,3,469
2490,714,2,1,28,6,122724.37,1,1,1,67057.27,0,0,1,1,892
2491,696,1,0,35,4,174902.26,1,1,0,69079.85,0,0,2,2,720
2492,612,3,0,26,4,0,2,1,1,179780.74,0,0,2,3,516
2493,520,1,0,31,3,108914.17,1,1,1,183572.39,1,1,3,4,560
2494,782,3,1,23,10,98052.66,1,1,1,142587.32,0,0,3,2,565
2495,666,2,1,46,5,123873.19,1,1,1,177844.06,0,0,2,2,742
2496,466,1,0,56,2,111920.13,3,1,0,197634.11,1,1,3,4,586
2497,567,2,0,45,4,0,2,0,1,121053.19,0,0,3,3,525
2498,613,2,1,20,3,0,2,1,1,149613.77,0,0,1,3,817
2499,718,2,1,37,8,0,2,1,1,142.81,0,0,5,3,720
2500,614,2,0,37,8,75150.34,4,0,1,131766.67,1,1,1,3,516
2501,711,2,1,38,10,0,2,0,0,53311.78,0,0,1,1,784
2502,691,1,0,38,5,114753.76,1,1,0,107665.02,0,0,4,4,490
2503,527,2,1,32,0,0,1,1,0,109523.88,0,0,3,4,987
2504,476,2,0,32,6,111871.93,1,0,0,112132.86,0,0,3,3,988
2505,619,3,0,45,0,0,2,0,0,113645.4,0,0,4,4,315
2506,607,1,0,37,4,135927.06,1,0,0,180890.4,0,0,1,2,476
2507,695,3,1,44,8,0,2,1,1,70974.13,0,0,2,1,544
2508,653,2,1,33,1,0,2,0,0,53379.52,0,0,4,2,572
2509,677,2,1,46,2,57037.74,1,1,1,158531.01,0,0,1,3,870
2510,655,2,0,50,10,0,4,1,0,179267.94,1,1,1,3,889
2511,625,2,0,52,2,79468.96,1,1,1,84606.03,0,0,2,2,629
2512,679,1,0,34,7,121063.85,1,1,0,56984.58,0,0,1,3,564
2513,734,2,1,51,1,118537.47,1,1,1,116912.45,0,0,2,1,697
2514,666,2,1,39,10,0,2,1,0,102999.33,0,0,5,4,888
2515,592,1,0,26,4,105082.07,2,1,0,132801.57,0,0,1,3,949
2516,564,2,1,40,4,0,1,1,0,85455.62,1,1,2,3,344
2517,814,2,0,36,6,0,2,1,1,98657.01,0,0,5,4,780
2518,592,1,1,36,2,104702.65,2,1,0,107948.72,0,0,3,2,757
2519,758,2,0,50,2,95813.76,3,1,1,67944.09,1,1,2,2,525
2520,612,3,0,62,0,167026.61,2,1,1,192892.05,0,0,1,2,739
2521,498,1,1,61,7,102453.26,1,1,0,187247.56,1,1,2,1,727
2522,638,1,1,25,4,148045.45,2,1,1,114722.42,0,0,2,4,537
2523,558,2,1,35,1,0,2,0,0,111687.57,0,0,4,1,875
2524,756,2,0,24,1,0,2,1,0,184182.25,0,0,5,1,896
2525,782,3,1,52,4,0,1,1,1,52759.82,1,1,4,3,741
2526,505,2,1,34,10,104498.79,1,0,1,126451.14,0,0,3,1,244
2527,671,3,0,29,6,0,2,0,0,12048.67,0,0,2,3,328
2528,801,2,1,42,6,0,2,1,1,95804.33,0,0,1,4,361
2529,604,2,1,26,8,149542.52,2,0,1,197911.52,0,0,1,4,683
2530,716,2,0,29,10,87946.39,1,1,1,182531.74,0,0,1,3,660
2531,624,2,0,45,3,68639.57,1,1,0,168002.31,1,1,2,1,553
2532,607,1,1,47,4,148826.32,1,1,1,79450.61,0,0,5,3,837
2533,827,2,0,60,2,0,2,0,1,60615.83,0,0,3,1,750
2534,606,2,1,61,5,108166.09,2,0,1,8643.21,0,0,3,1,386
2535,717,1,0,35,5,103214.71,1,1,0,172172.7,0,0,4,3,880
2536,651,1,1,40,1,134760.21,2,0,0,174434.06,1,1,4,4,741
2537,691,2,1,58,3,0,1,0,1,194930.3,1,1,2,2,974
2538,573,2,0,33,0,90124.64,1,1,0,137476.71,0,0,5,1,574
2539,723,3,1,38,6,0,2,1,1,94415.6,0,0,2,2,500
2540,584,1,0,46,6,87361.02,2,1,0,120376.87,1,1,4,2,400
2541,550,1,0,45,8,111257.59,1,0,0,97623.42,1,1,1,4,448
2542,611,2,0,61,3,131583.59,4,0,1,66238.23,1,1,3,2,755
2543,549,1,1,41,9,95020.8,3,1,1,131710.59,1,1,5,1,793
2544,850,3,0,24,1,0,2,0,1,69052.87,0,0,3,4,888
2545,668,1,1,34,5,80242.37,2,0,0,56780.97,0,0,3,3,872
2546,686,2,0,43,0,0,1,1,1,170072.9,0,0,5,2,929
2547,660,2,1,50,1,0,3,1,1,191849.15,1,1,5,4,967
2548,682,3,0,59,0,122661.39,1,0,1,84803.76,0,0,1,2,686
2549,524,2,1,50,4,0,2,1,1,31840.59,1,1,2,4,292
2550,645,2,0,36,8,0,2,1,1,12096.61,1,1,2,2,608
2551,850,2,1,42,0,0,2,1,0,44165.84,0,0,2,4,377
2552,537,2,0,53,3,0,1,1,1,91406.62,0,0,4,2,238
2553,599,3,0,46,7,81742.84,2,1,0,83282.21,0,0,3,2,381
2554,727,3,1,71,8,0,1,1,1,198446.91,1,1,4,3,869
2555,756,3,1,30,2,145127.85,1,0,0,7554.68,0,0,2,4,774
2556,755,2,1,38,9,148912.44,1,1,0,80416.16,0,0,3,1,416
2557,634,3,0,41,4,0,2,1,1,164549.74,0,0,4,1,311
2558,837,2,1,26,4,89900.24,2,1,0,175477.03,0,0,2,1,265
2559,727,1,0,30,8,119027.28,2,1,1,137903.54,0,0,5,3,515
2560,567,1,0,40,2,105222.86,2,1,0,93795.86,0,0,1,4,975
2561,650,3,0,30,6,0,1,0,0,67997.13,1,1,4,3,963
2562,655,3,1,34,1,116114.93,1,1,1,49492.15,0,0,5,3,601
2563,763,2,0,58,9,187911.55,1,0,1,35825.18,0,0,5,2,871
2564,843,2,0,27,5,0,2,1,1,67494.23,0,0,1,1,557
2565,667,2,0,38,6,144432.04,1,1,1,73963.17,1,1,1,4,403
2566,705,2,0,50,4,77065.9,2,0,1,145159.26,0,0,4,2,726
2567,660,1,0,29,6,180520.29,1,1,1,123850.58,0,0,2,4,988
2568,553,2,1,42,1,0,2,0,0,23822.04,0,0,3,2,425
2569,612,1,0,47,6,130024.87,1,1,1,45750.21,1,1,4,2,705
2570,641,1,0,40,2,110086.69,1,1,0,159773.14,0,0,4,1,413
2571,513,3,0,31,5,174853.46,1,1,0,84238.63,0,0,5,4,640
2572,680,2,1,44,7,108724.98,1,0,1,72330.46,0,0,4,3,973
2573,711,2,1,58,9,91285.13,2,1,1,26767.85,0,0,3,1,949
2574,689,3,1,40,2,0,2,1,1,164768.82,0,0,4,3,490
2575,665,1,0,51,9,110610.41,2,0,1,1112.76,1,1,2,3,843
2576,551,1,1,54,5,102994.04,1,1,0,176680.16,1,1,2,1,289
2577,645,3,1,36,4,59893.85,2,1,0,43999.64,0,0,5,1,420
2578,616,1,1,29,8,149318.55,1,1,0,140746.13,0,0,1,2,564
2579,582,2,0,32,1,116409.55,1,0,1,152790.92,0,0,4,4,519
2580,365,1,1,30,0,127760.07,1,1,0,81537.85,1,1,4,1,342
2581,697,1,0,38,6,132591.36,1,1,1,7387.8,1,1,3,1,322
2582,704,2,1,31,0,0,2,1,0,183038.33,0,0,1,1,349
2583,656,2,0,46,5,113402.14,2,1,1,138849.06,0,0,4,4,605
2584,712,2,0,31,7,0,2,1,0,170333.38,0,0,4,4,754
2585,748,2,1,40,0,0,1,0,0,60416.76,0,0,4,4,724
2586,724,2,1,28,9,0,2,1,1,100240.2,0,0,2,3,664
2587,691,2,1,50,6,136953.47,1,1,1,2704.98,0,0,5,2,469
2588,563,2,1,33,8,0,2,0,1,68815.05,0,0,5,2,983
2589,741,2,1,32,5,0,1,1,1,64839.23,0,0,3,4,485
2590,778,2,1,44,8,123863.64,1,1,0,144494.94,0,0,1,1,830
2591,848,3,1,22,7,120811.89,1,1,1,185510.34,0,0,5,3,295
2592,634,1,1,38,2,148430.55,1,1,1,56055.72,0,0,5,2,808
2593,505,1,1,40,6,47869.69,2,1,1,155061.97,0,0,1,1,910
2594,692,1,1,53,7,150926.99,2,0,0,119817.19,0,0,2,4,357
2595,537,1,0,47,6,103163.35,1,1,0,16259.64,1,1,3,4,367
2596,633,2,1,29,10,130206.28,1,1,0,184654.87,0,0,5,3,957
2597,833,2,0,28,4,136674.51,2,0,0,5278.78,0,0,5,3,502
2598,592,3,0,40,2,200322.45,1,1,1,113244.73,0,0,5,2,482
2599,587,3,1,48,1,0,2,1,1,8908,0,0,5,1,660
2600,550,3,1,62,7,80927.56,1,0,1,64490.67,0,0,5,3,679
2601,680,2,0,24,10,0,3,1,0,154971.63,1,1,3,4,434
2602,622,3,0,41,9,0,2,1,1,155786.39,0,0,3,2,292
2603,594,1,1,28,0,142574.71,2,1,0,129084.82,0,0,5,3,689
2604,643,1,0,34,7,160426.07,1,0,1,188533.11,0,0,3,3,806
2605,540,2,1,25,5,116160.23,1,1,0,13411.67,0,0,5,4,906
2606,635,3,0,34,5,98683.47,2,1,0,15733.19,0,0,3,4,558
2607,657,2,1,32,3,118829.03,2,1,1,73127.61,0,0,2,1,343
2608,814,2,1,31,1,118870.92,1,1,0,101704.19,0,0,3,1,400
2609,600,2,1,32,1,0,1,1,1,101986.16,0,0,4,4,324
2610,682,2,0,46,2,0,1,1,1,114442.66,0,0,3,1,257
2611,682,2,1,38,4,107192.38,1,1,1,15669.17,0,0,3,2,459
2612,566,2,1,42,3,108010.78,1,1,1,157486.1,0,0,3,3,509
2613,550,3,1,34,3,0,2,0,0,131281.28,0,0,5,4,806
2614,630,2,1,26,7,129837.72,2,0,1,197001.15,0,0,1,1,716
2615,546,1,0,58,3,106458.31,4,1,0,128881.87,1,1,5,4,369
2616,486,2,1,63,9,97009.15,1,1,1,85101,0,0,1,3,575
2617,762,3,1,35,9,122929.42,2,0,0,149822.04,0,0,3,4,504
2618,692,1,1,45,6,152296.83,4,0,1,108040.86,1,1,4,1,489
2619,498,2,0,30,1,0,2,0,0,135795.53,0,0,5,3,371
2620,850,3,1,49,8,0,1,0,0,25867.67,1,1,2,2,240
2621,603,2,1,35,6,128993.76,2,1,0,130483.56,0,0,4,1,733
2622,551,2,0,36,5,0,1,1,0,183479.12,0,0,4,2,960
2623,627,1,1,27,0,185267.45,2,1,1,77027.34,0,0,4,4,606
2624,515,2,0,28,9,0,2,0,0,94141.75,0,0,3,2,772
2625,605,3,0,29,3,116805.82,1,0,0,4092.75,0,0,5,2,851
2626,567,1,1,29,5,129750.68,1,1,0,109257.59,0,0,3,3,886
2627,568,1,0,29,2,129177.01,2,0,1,104617.99,0,0,3,1,893
2628,571,1,1,25,6,82506.72,2,1,0,167705.07,0,0,3,1,624
2629,634,1,1,48,2,107247.69,1,1,1,103712.05,1,1,5,3,674
2630,768,3,0,42,3,0,1,0,0,161242.99,1,1,1,4,651
2631,554,1,0,36,3,157780.93,2,1,0,6089.13,0,0,3,1,530
2632,629,2,1,35,1,172170.36,1,1,1,159777.37,0,0,2,3,230
2633,638,3,1,48,2,0,2,1,1,7919.08,0,0,1,1,674
2634,576,2,1,41,1,0,1,1,1,188274.6,0,0,3,1,999
2635,661,3,0,42,9,75361.44,1,1,0,27608.12,1,1,2,2,828
2636,592,2,0,27,4,0,2,1,1,183569.25,0,0,5,2,900
2637,702,3,1,30,2,0,2,1,1,145537.32,0,0,3,3,786
2638,647,2,0,29,0,98263.46,2,1,0,164717.95,0,0,2,3,621
2639,593,2,1,43,9,0,2,1,1,76357.43,0,0,1,1,931
2640,712,1,0,40,3,109308.79,2,1,0,120158.72,1,1,1,3,778
2641,625,3,0,31,8,0,2,1,0,151843.54,0,0,2,4,617
2642,538,1,0,28,6,164365.44,1,0,1,5698.97,0,0,4,1,659
2643,637,3,0,22,5,98800,1,1,0,122865.55,0,0,2,4,430
2644,632,2,1,27,4,193125.85,1,1,1,152665.85,0,0,4,3,262
2645,736,2,1,27,5,51522.75,1,0,1,192131.77,0,0,4,4,562
2646,755,2,1,23,5,84284.48,2,1,1,62851.6,0,0,5,1,453
2647,425,3,0,39,5,0,2,1,0,140941.47,0,0,1,1,426
2648,461,2,1,51,9,119889.84,1,0,0,56767.67,1,1,1,3,933
2649,745,2,1,21,4,137910.45,1,1,1,177235.23,0,0,3,2,923
2650,616,2,0,37,6,0,2,1,0,86242.18,0,0,2,2,850
2651,587,2,1,33,5,100116.82,1,1,0,34215.58,0,0,5,4,492
2652,850,1,1,40,4,166082.15,2,0,1,44406.17,0,0,1,4,563
2653,601,2,0,38,0,0,2,1,0,165196.65,0,0,4,2,657
2654,730,3,1,26,3,0,1,1,0,34542.41,0,0,3,3,805
2655,532,2,1,44,3,148595.55,1,1,0,74838.64,1,1,1,2,955
2656,850,1,1,53,2,94078.97,2,1,0,36980.54,0,0,4,3,325
2657,779,3,0,34,5,0,2,0,1,111676.63,0,0,1,4,945
2658,562,2,1,29,9,0,1,1,1,25858.68,0,0,1,4,512
2659,670,1,1,40,2,164948.98,3,0,0,177028,1,1,3,4,955
2660,729,2,0,62,4,140549.4,1,1,0,30990.16,1,1,3,3,726
2661,767,2,0,44,2,152509.25,1,1,1,136915.15,0,0,4,3,777
2662,742,2,0,28,2,191864.51,1,1,0,108457.99,1,1,5,4,489
2663,669,2,0,44,8,96418.09,1,0,0,131609.48,1,1,3,4,915
2664,542,3,1,32,2,131945.94,1,0,1,159737.56,0,0,3,4,406
2665,586,2,1,29,3,0,2,1,1,142238.54,0,0,2,3,1000
2666,612,1,1,30,9,142910.15,1,1,0,105890.55,1,1,5,3,763
2667,740,2,0,37,7,0,2,1,1,194270.91,0,0,1,1,741
2668,584,2,1,35,3,146311.58,1,1,1,105443.47,0,0,1,3,292
2669,524,2,1,52,2,87894.26,1,1,0,173899.42,1,1,4,4,771
2670,614,2,0,19,5,97445.49,2,1,0,122823.34,0,0,5,2,596
2671,598,2,0,64,9,0,1,0,1,13181.37,1,1,5,3,753
2672,799,3,1,35,7,0,2,0,1,140780.8,0,0,4,2,695
2673,724,2,1,34,2,154485.74,2,0,0,78560.64,0,0,1,1,518
2674,601,2,1,50,2,115625.07,1,1,0,185855.21,0,0,5,1,666
2675,804,2,1,25,7,108396.67,1,1,0,128276.95,0,0,1,1,399
2676,745,1,1,38,5,65095.41,2,1,1,140197.42,0,0,3,2,603
2677,667,1,1,43,1,103018.45,1,1,0,32462.39,1,1,4,1,784
2678,518,2,0,38,10,84764.79,1,1,1,162253.9,0,0,4,4,289
2679,819,2,0,38,10,0,2,1,0,30498.7,0,0,3,4,380
2680,520,3,0,35,4,115680.81,1,1,1,90280.7,0,0,5,2,275
2681,625,2,0,39,5,0,2,1,0,32615.21,0,0,2,4,269
2682,673,1,1,36,5,73088.06,2,0,0,196142.26,0,0,3,3,328
2683,656,1,0,27,3,150905.03,2,1,0,16998.72,0,0,4,3,839
2684,850,3,0,23,9,143054.85,1,0,1,62980.96,0,0,3,2,930
2685,574,3,0,28,7,0,2,0,0,185660.3,0,0,1,2,626
2686,679,2,1,60,6,0,2,1,1,77331.77,0,0,4,1,421
2687,530,1,0,42,0,99948.45,1,0,1,97338.62,0,0,4,1,478
2688,508,2,1,44,3,115451.05,2,0,0,67234.33,0,0,5,3,654
2689,558,1,1,32,4,108235.91,1,1,1,143783.28,0,0,4,1,801
2690,414,2,1,38,8,0,1,0,1,77661.12,1,1,4,1,258
2691,648,3,1,42,2,98795.61,2,1,0,89123.99,0,0,5,3,365
2692,721,2,0,37,1,0,2,1,0,70810.8,0,0,5,1,420
2693,751,2,1,31,8,0,2,0,0,17550.49,0,0,3,4,341
2694,662,2,1,34,2,0,2,0,1,21497.27,0,0,4,3,892
2695,628,1,1,29,3,113146.98,2,0,1,124749.08,0,0,2,2,354
2696,597,1,0,39,8,162532.14,3,1,0,36051.46,1,1,2,4,699
2697,698,3,0,40,0,92053.44,1,1,1,143681.83,0,0,4,1,970
2698,723,2,1,48,7,0,2,1,1,150694.58,0,0,1,2,501
2699,586,2,0,28,5,0,3,1,0,170487.4,1,1,2,2,471
2700,633,1,0,29,8,104944.1,1,1,1,97684.46,0,0,4,1,769
2701,564,2,1,31,4,0,2,1,0,53520.03,0,0,4,2,363
2702,649,2,0,31,2,0,2,1,0,15200.61,0,0,5,1,993
2703,622,2,0,30,4,107879.04,1,0,1,196894.62,0,0,5,3,623
2704,459,1,1,46,7,110356.42,1,1,0,4969.13,1,1,1,2,997
2705,718,2,1,27,2,0,2,0,0,26229.24,0,0,1,2,538
2706,655,3,0,34,4,109783.69,2,1,0,134034.32,0,0,1,2,985
2707,696,2,1,22,9,149777,1,1,1,198032.93,0,0,3,2,873
2708,637,2,0,38,3,104339.56,1,0,0,119882.86,0,0,5,2,361
2709,630,3,0,21,1,85818.18,1,1,1,133102.3,0,0,2,1,374
2710,592,2,1,37,4,212692.97,1,0,0,176395.02,0,0,1,3,232
2711,634,1,1,37,1,89696.84,2,1,1,193179.88,0,0,2,3,725
2712,608,2,0,28,9,0,2,1,1,125062.02,0,0,4,3,397
2713,565,1,0,32,9,68067.24,1,1,0,143287.58,0,0,3,4,504
2714,763,3,1,67,9,148564.66,1,0,1,87236.4,0,0,1,2,595
2715,665,2,0,55,8,136354.16,1,1,1,93769.89,0,0,4,3,940
2716,649,2,1,38,1,122214,1,0,1,88965.46,0,0,3,1,591
2717,695,2,1,45,3,0,2,1,1,30793.61,0,0,1,2,364
2718,775,1,1,70,6,119684.88,2,1,1,74532.02,0,0,1,3,237
2719,788,2,0,39,3,135139.33,1,0,1,113086.08,0,0,1,4,444
2720,569,1,0,42,9,146100.75,1,1,0,32574.01,1,1,2,2,812
2721,726,3,0,56,8,123110.9,3,0,1,130113.78,1,1,4,1,873
2722,564,1,0,44,3,111760.4,3,1,1,104722.47,1,1,3,1,785
2723,544,2,0,32,9,110728.39,1,1,1,14559.62,0,0,1,4,629
